Bookmark,Frame#,Chan,Type,AddrTypeI,InitA/ScanA,AddrTypeA,AdvA,Len,Frame Size,Delta,Timestamp,
,54,38 ,SCAN_RSP,,,(rand),0xe0e8ed7eb6d0,16,55,=" 00:00:00.000325",="5/11/2020 10:39:22.449404 AM",
,55,37 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.691404",="5/11/2020 10:39:23.140808 AM",
,56,38 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:23.142308 AM",
,57,39 ,SCAN_REQ,(pub),0xb02a4398197c,(rand),0xe0e8ed7eb6d0,12,51,=" 00:00:00.002023",="5/11/2020 10:39:23.144331 AM",
,58,37 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.692732",="5/11/2020 10:39:23.837063 AM",
,59,38 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:23.838563 AM",
,60,38 ,SCAN_REQ,(pub),0xb02a4398197c,(rand),0xe0e8ed7eb6d0,12,51,=" 00:00:00.000523",="5/11/2020 10:39:23.839086 AM",
,61,38 ,SCAN_RSP,,,(rand),0xe0e8ed7eb6d0,16,55,=" 00:00:00.000325",="5/11/2020 10:39:23.839411 AM",
,62,37 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.691407",="5/11/2020 10:39:24.530818 AM",
,63,38 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:24.532318 AM",
,64,39 ,SCAN_REQ,(pub),0xb02a4398197c,(rand),0xe0e8ed7eb6d0,12,51,=" 00:00:00.002023",="5/11/2020 10:39:24.534341 AM",
,65,37 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.685232",="5/11/2020 10:39:25.219573 AM",
,66,37 ,SCAN_REQ,(pub),0xb02a4398197c,(rand),0xe0e8ed7eb6d0,12,51,=" 00:00:00.000523",="5/11/2020 10:39:25.220096 AM",
,67,37 ,SCAN_RSP,,,(rand),0xe0e8ed7eb6d0,16,55,=" 00:00:00.000325",="5/11/2020 10:39:25.220421 AM",
,68,38 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.000652",="5/11/2020 10:39:25.221073 AM",
,69,39 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:25.222573 AM",
,70,37 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.684505",="5/11/2020 10:39:25.907078 AM",
,71,38 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:25.908578 AM",
,72,38 ,SCAN_REQ,(pub),0xb02a4398197c,(rand),0xe0e8ed7eb6d0,12,51,=" 00:00:00.000523",="5/11/2020 10:39:25.909102 AM",
,73,38 ,SCAN_RSP,,,(rand),0xe0e8ed7eb6d0,16,55,=" 00:00:00.000325",="5/11/2020 10:39:25.909426 AM",
,74,37 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.692657",="5/11/2020 10:39:26.602083 AM",
,75,38 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:26.603583 AM",
,76,39 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:26.605083 AM",
,77,37 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.694505",="5/11/2020 10:39:27.299589 AM",
,78,38 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:27.301089 AM",
,79,38 ,SCAN_REQ,(pub),0xb02a4398197c,(rand),0xe0e8ed7eb6d0,12,51,=" 00:00:00.000523",="5/11/2020 10:39:27.301612 AM",
,80,38 ,SCAN_RSP,,,(rand),0xe0e8ed7eb6d0,16,55,=" 00:00:00.000325",="5/11/2020 10:39:27.301937 AM",
,81,37 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.695157",="5/11/2020 10:39:27.997094 AM",
,82,38 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:27.998594 AM",
,83,39 ,SCAN_REQ,(pub),0xb02a4398197c,(rand),0xe0e8ed7eb6d0,12,51,=" 00:00:00.002023",="5/11/2020 10:39:28.000617 AM",
,84,37 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.687732",="5/11/2020 10:39:28.688349 AM",
,85,37 ,SCAN_REQ,(pub),0xb02a4398197c,(rand),0xe0e8ed7eb6d0,12,51,=" 00:00:00.000523",="5/11/2020 10:39:28.688872 AM",
,86,37 ,SCAN_RSP,,,(rand),0xe0e8ed7eb6d0,16,55,=" 00:00:00.000325",="5/11/2020 10:39:28.689197 AM",
,87,38 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.000652",="5/11/2020 10:39:28.689849 AM",
,88,37 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.692255",="5/11/2020 10:39:29.382104 AM",
,89,38 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:29.383604 AM",
,90,38 ,SCAN_REQ,(pub),0xb02a4398197c,(rand),0xe0e8ed7eb6d0,12,51,=" 00:00:00.000523",="5/11/2020 10:39:29.384127 AM",
,91,38 ,SCAN_RSP,,,(rand),0xe0e8ed7eb6d0,16,55,=" 00:00:00.000325",="5/11/2020 10:39:29.384452 AM",
,92,37 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.688907",="5/11/2020 10:39:30.073359 AM",
,93,38 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:30.074859 AM",
,94,39 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:30.076359 AM",
,95,39 ,SCAN_REQ,(pub),0xb02a4398197c,(rand),0xe0e8ed7eb6d0,12,51,=" 00:00:00.000523",="5/11/2020 10:39:30.076883 AM",
,96,39 ,SCAN_RSP,,,(rand),0xe0e8ed7eb6d0,16,55,=" 00:00:00.000325",="5/11/2020 10:39:30.077207 AM",
,97,37 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.692407",="5/11/2020 10:39:30.769614 AM",
,98,38 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:30.771114 AM",
,99,39 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:30.772614 AM",
,100,37 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.692005",="5/11/2020 10:39:31.464620 AM",
,101,38 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:31.466120 AM",
,102,38 ,SCAN_REQ,(pub),0xb02a4398197c,(rand),0xe0e8ed7eb6d0,12,51,=" 00:00:00.000523",="5/11/2020 10:39:31.466643 AM",
,103,38 ,SCAN_RSP,,,(rand),0xe0e8ed7eb6d0,16,55,=" 00:00:00.000325",="5/11/2020 10:39:31.466968 AM",
,104,39 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.000652",="5/11/2020 10:39:31.467620 AM",
,105,37 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.689505",="5/11/2020 10:39:32.157125 AM",
,106,38 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:32.158625 AM",
,107,38 ,SCAN_RSP,,,(rand),0xe0e8ed7eb6d0,16,55,=" 00:00:00.000849",="5/11/2020 10:39:32.159474 AM",
,108,39 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.000651",="5/11/2020 10:39:32.160125 AM",
,109,37 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.692005",="5/11/2020 10:39:32.852130 AM",
,110,37 ,SCAN_REQ,(rand),0x7a9411c9c442,(rand),0xe0e8ed7eb6d0,12,51,=" 00:00:00.000527",="5/11/2020 10:39:32.852657 AM",
,111,37 ,SCAN_RSP,,,(rand),0xe0e8ed7eb6d0,16,55,=" 00:00:00.000325",="5/11/2020 10:39:32.852982 AM",
,112,38 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.000648",="5/11/2020 10:39:32.853630 AM",
,113,39 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:32.855130 AM",
,114,37 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.692005",="5/11/2020 10:39:33.547135 AM",
,115,38 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:33.548635 AM",
,116,39 ,ADV_IND,,,(rand),0xe0e8ed7eb6d0,37,76,=" 00:00:00.001500",="5/11/2020 10:39:33.550135 AM",
